equipment-export-2026-06-02-101353;;;;;;;;;;;
Registration Number;Fleet ID;Type;Vin/Serial ID;Make;Model;Engine Capacity;Fuel Consumption;Loading/Carrying Capacity (Tonnes);Location;Company;Status
;2ESC716;COMPACTOR;CATCS533CTJL07060;;CAT - 533E;;;;AMATOLA;Earth Shift;AVAILABLE
;2ESD753;DOZER;op654321;SHANTU;;;;;;;AVAILABLE
;2ESZ742;EXCAVATOR;XUG12001PNKA18711;XCMG;;;;20;WALDEN;Earth Shift;AVAILABLE
;2UFZ740;EXCAVATOR;KCMOLL13JJ0007087;;;;;;AMATOLA;U-freight link;AVAILABLE
;2ESG712;GRADER;HEXZH00792;CAT 140 H;CAT 140 H;;;;AMATOLA;Earth Shift;AVAILABLE
;2UFL769;LOADER;CXG00955KK0H00180;;XG955H;;;;AMATOLA;U-freight link;AVAILABLE
;2HGL768;LOADER;VLGL956HVS0621364;SDLG-L956H;SDLG-L956H;;;;AMATOLA;HarvGood;AVAILABLE
;1MML6;LOADER;;;;;;;AMATOLA;Magaya Mining;AVAILABLE
;1MML5;LOADER;221,235,175;Wulf Renoster;Front End Loader;;;;AMATOLA;Magaya Mining;AVAILABLE
;2ESL756;LOADER;SW956K3CF5598;;SANY;;;;AMATOLA;Earth Shift;AVAILABLE
;2HGL766;LOADER;VLGL953HAS0620530;SDLG-L953H;SDLG-L953H;;;;AMATOLA;HarvGood;AVAILABLE
;2HGL767;LOADER;VLGL956HES0621337;SDLG-L956H;SDLG-L956H;;;;AMATOLA;HarvGood;AVAILABLE
AHF4219;2WTP793;POOL;XLRAE65GC0E964382;DAF;;;5.5;10;WALDEN;Willo & TH Safety;AVAILABLE
AAH7451;2WTP770;POOL;;UD40;;;5;4;WALDEN;Willo & TH Safety;AVAILABLE
AGL7329;2HGT713;TIPPER;;Howo;Howo;;;;AMATOLA;HarvGood;AVAILABLE
AGJ0312;1MMT16;TIPPER;LZGJLDR41NX059560;Shacman F3000;Tipper Truck;;;;AMATOLA;Magaya Mining;AVAILABLE
AGZ8676;2HGT850;TIPPER;;;;;;;;HarvGood;AVAILABLE
;2EST743;TIPPER;;;;;;;AMATOLA;Earth Shift;AVAILABLE
;2EST761;TIPPER;XLRAD85MCOE800661;DAF;;;;;WALDEN;Earth Shift;AVAILABLE
;2HGT671;TIPPER;;HOWO;Sino Truck;;;;OTHER;HarvGood;AVAILABLE
AGZ5592;2WTT718;TIPPER;YV2J4CJD13A555328;Volvo;Volvo;;;;AMATOLA;Willo & TH Safety;AVAILABLE
AHE0277;2HGT834;TIPPER;;;;;;;;HarvGood;AVAILABLE
;2APT652;TIPPER;;;;;;;OTHER;;AVAILABLE
AGZ8677;2HGT851;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGZ8678;2HGT852;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGZ6652;2HGT791;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGL8027;2MLT825;TIPPER;LZGJLDT4XRX096430;Shacman;Tipper;;2.2;20;WALDEN;Methusela;AVAILABLE
AGL8434;2EST744;TIPPER;LZZ5ELSD4SN098478;HOWO;Sino Truck;;;;AMATOLA;Earth Shift;AVAILABLE
AGZ8679;2HGT853;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGL6352;2HGT715;TIPPER;;Howo;Howo;;;;AMATOLA;HarvGood;AVAILABLE
AGZ6672;2HGT717;TIPPER;;Howo;;;;;AMATOLA;HarvGood;AVAILABLE
AHE1578;2HGT858;TIPPER;;;;;;;;HarvGood;AVAILABLE
AGZ8680;2HGT854;TIPPER;;;;;;;;HarvGood;AVAILABLE
;2HGT789;TIPPER;;;;;;;;;AVAILABLE
