Internal/External;Fleet Prefix;Number;Fleet ID;Type;Make;Registration Number;Vin/Serial ID;Location;Description;Specification;Engine Power;Fuel Consumption ( Litres/Hr or Km/Litre);Company
Internal;1MML;1;1MML1;Loader;Wulf Renoster ;;200 835 004;Chanton ;Front End Loader;3 Ton ;;15;Magaya Mining
Internal;1MML;2;1MML2;Loader;Wulf Renoster ;;211 058 011;Walden;Front End Loader;3 Ton ;;15;Magaya Mining
Internal;1MML;3;1MML3;Loader;Wulf Oliphant ;;211 058 011;Walden ;Front End Loader;5 Ton ;;20;Magaya Mining
Internal;1MML;4;1MML4;Loader;XCGM;;XUG0050GPNCB08684;Walden;Front End Loader;5 Ton ;;20;Magaya Mining
Internal;1MML;5;1MML5;Loader;Wulf Renoster ;;221 235 175;Walden;Front End Loader;3 Ton ;;15;Magaya Mining
Internal;1MML;6;1MML6;Loader;Wulf Renoster ;;220 135 142;Walden;Front End Loader;3 Ton ;;15;Magaya Mining
Internal;1MML;7;1MML7;Loader;Wulf Renoster ;;;Walden;Front End Loader;3 Ton ;;15;Magaya Mining
Internal;1MML;8;1MML8;Loader;XCGM;;XUG0600KHPCB08459;Walden;Front End Loader;5 Ton ;;20;Magaya Mining
Internal;1MML;9;1MML9;Loader;Cat ;;;Walden;Front End Loader;3 Ton ;;15;Magaya Mining
Internal;1MML;10;1MML10;Loader;Cat ;;;Walden;Front End Loader;3 Ton ;;15;Magaya Mining
Internal;1MMT;11;1MMT11;Tipper;Hohan N7B340;AFJ6667;LZZPELND4LJ171183;Walden;Tipper Truck;20t-Tipper;;2,2;Magaya Mining
Internal;1MMT;12;1MMT12;Tipper;Hohan N7B340;AFJ7599;LZZPELNDXLJ152699;Walden;Tipper Truck;20t-Tipper;;2,2;Magaya Mining
Internal;1MMT;13;1MMT13;Tipper;Hohan N7B340;AGB2067;LZZPELND1LJ171187;Walden;Tipper Truck;20t-Tipper;;2,2;Magaya Mining
Internal;1MMT;14;1MMT14;Tipper;Howo 371;AFQ2394;LZZ5ELSD5MN887953;Walden;Tipper Truck;25t-Tipper;;2,2;Magaya Mining
Internal;1MMT;15;1MMT15;Tipper;Howo 371;AFQ7103;LZZ5ELSD4NAQO17930;Walden;Tipper Truck;25t-Tipper;;2,2;Magaya Mining
Internal;1MMT;16;1MMT16;Tipper;Shacman F3000;AGJ0312;LZGJLDR41NX059560;Walden;Tipper Truck;30t-Tipper;;2,2;Magaya Mining
Internal;1MMT;17;1MMT17;Tipper;Shacman F3000;AGJ0314;LZGJLDR46NX059571;Walden;Tipper Truck;30t-Tipper;;2,2;Magaya Mining
Internal;1MMT;18;1MMT18;Tipper;Shacman F3000;AGL2202;LZGJLDR46NX059604;Walden;Tipper Truck;30t-Tipper;;2,2;Magaya Mining
Internal;1MMP;19;1MMP19;Pool;Toyota ;AGJ5976;KDH206-8084179;Walden;Mini Bus;12 Seater;;;Magaya Mining
Internal;1MMP;20;1MMP20;Pool;Hino Dutro ;;XZU304-1009528;Chanton ;Small Truck;2Ton;;;Magaya Mining
Internal;1MMP;21;1MMP21;Pool;Toyota Toyoace ;AFO9812;LY131-0003970;Walden;Small Truck;1.5Ton;;;Magaya Mining
Internal;1MMP;22;1MMP22;Pool;Hino Dutro ;AGA0171;XZU411-0013267;Walden;Small Truck;3Ton;;;Magaya Mining
Internal;1MMZ;23;1MMZ23;Excavator;Bell Kobellco;;YN15506022;Walden;Excavator;22 Ton;;25,5;Magaya Mining
Internal;1MMZ;24;1MMZ24;Excavator;International ;;4TF10256;Walden;Excavator;22 Ton;;25,5;Magaya Mining
Internal;1MMZ;25;1MMZ25;Excavator;Caterpillar ;;4TF10036;Walden;Excavator;22 Ton;;25,5;Magaya Mining
Internal;1MMJ;26;1MMJ26;TLB;JCB;;CD4045G178537;E4;TLB;1 Ton;;5,5;Magaya Mining
Internal;1MMJ;27;1MMJ27;TLB;Bell TLB;;CD4045G178537;Chanton ;TLB;1 Ton;;5,5;Magaya Mining
Internal;1MMJ;28;1MMJ28;TLB;Bell TLB;;CD4045G178537;Walden;TLB;1 Ton;;5,5;Magaya Mining
Internal;1MMZ;29;1MMZ29;Excavator;BT;;4TF03915;BT;Excavator ;20 Ton;;25,5;Magaya Mining
Internal;1MMS;30;1MMS30;Tractor;Massey Ferguson 440;;;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;31;1MMS31;Tractor;Massey Ferguson ;;;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;32;1MMS32;Tractor;Massey Ferguson ;;;BT;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;33;1MMS33;Tractor;Massey Ferguson 390;;MF -034479;BT;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;34;1MMS34;Tractor;Massey Ferguson ;;;BT;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;35;1MMS35;Tractor;Massey Ferguson ;;;BT;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;36;1MMS36;Tractor;Y.T.O;;RIZO(Eng.n0-87840783);Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;37;1MMS37;Tractor;Luzhong;;B18290;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;38;1MMS38;Tractor;FORD TANDEM-1;;BTY19070;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;39;1MMS39;Tractor;FORD TANDEM-2;;;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;40;1MMS40;Tractor;Massey Ferguson ;;;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;41;1MMS41;Tractor;Massey Ferguson ;;;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;42;1MMS42;Tractor;Massey Ferguson ;;MF-6207514M1;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;43;1MMS43;Tractor;Ursus;;;BT;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMS;44;1MMS44;Tractor;New Holland Tractor ;;;Walden;Tractor;7t-Tractor;;;Magaya Mining
Internal;1MMF;45;1MMF45;Tellehandler;Caterpillar ;;;Walden;Forklift;1Ton;;2,9;Magaya Mining
Internal;1MMX;46;1MMX46;Generator;AKSA;                                                                                                                                                                                                                 ;;Walden;Generator;525KVA;;;Magaya Mining
Internal;1MMX;47;1MMX47;Generator;AKSA;;;Amatola;Generator;525KVA;;;Magaya Mining
Internal;1MMX;48;1MMX48;Generator;AKSA;;;WALDEN CIP;Generator;525KVA;;;Magaya Mining
Internal;1MMX;49;1MMX49;Generator;AKSA;;;WALDEN CIP;Generator;525KVA;;;Magaya Mining
Internal;1MMX;50;1MMX50;Generator;YUCHAI;;;CIP;Generator;500KVA;;;Magaya Mining
Internal;1MMX;51;1MMX51;Generator;YUCHAI;;;Mills;Generator;500KVA;;;Magaya Mining
Internal;1MMX;52;1MMX52;Generator;YUCHAI;;;Elvington;Generator;100KVA;;;Magaya Mining
Internal;1MMX;53;1MMX53;Generator;YUCHAI;;;WORKSHOP;Generator;100KVA;;;Magaya Mining
Internal;1MMX;54;1MMX54;Generator;YUCHAI;;;WORKSHOP;Generator;250KVA;;;Magaya Mining
Internal;1MMX;55;1MMX55;Generator;YUCHAI;;;WALDEN CIP;Generator;200KVA;;;Magaya Mining
Internal;1MMX;56;1MMX56;Generator;AKSA;;;WALDEN CIP;Generator;165KVA;;;Magaya Mining
Internal;1MMX;57;1MMX57;Generator;AKSA;;;WALDEN CIP;Generator;110KVA;;;Magaya Mining
Internal;1MMX;58;1MMX58;Generator;YUCHAI;;;Elvington;Generator;125KVA;;;Magaya Mining
Internal;1MMX;59;1MMX59;Generator;AKSA;;;Giant    ;Generator;160KVA;;;Magaya Mining
Internal;1MMX;60;1MMX60;Generator;AKSA;;;Blue Rock (River);Generator;200KVA;;;Magaya Mining
Internal;1MMX;61;1MMX61;Generator;YUCHAI;;;NEW FOUND ;Generator;100KVA;;;Magaya Mining
Internal;1MMX;62;1MMX62;Generator;YUCHAI;;;OLD MILLS (NOIC);Generator;150KVA;;;Magaya Mining
Internal;1MMX;63;1MMX63;Generator;YUCHAI;;;WALDEN NEW MILLS;Generator;250KVA;;;Magaya Mining
Internal;1MMX;64;1MMX64;Generator;UNKNOWN;;;SLIMES DAM;Generator;60KVA;;;Magaya Mining
Internal;1MMX;65;1MMX65;Generator;ATA;;;ZOWA;Generator;125KVA;;;Magaya Mining
Internal;1MMX;66;1MMX66;Generator;YUCHAI;;;BT MILLS ARTIISINAL ;Generator;125KVA;;;Magaya Mining
Internal;1MMX;67;1MMX67;Generator;YUCHAI;;;STALIN;Generator;150KVA;;;Magaya Mining
Internal;1MMX;68;1MMX68;Generator;YUCHAI;;;NEW FOUND (B/DOWN);Generator;250KVA;;;Magaya Mining
Internal;1MMX;69;1MMX69;Generator;LISTER ;;;Blue Rock Main Shaft;Generator;15KVA;;;Magaya Mining
