Reg Number ;Fleet ID;Type;Vin/Serial ID;Make;Model;Engine Capacity;Fuel Consumption;Loading/Carrying Capacity (Tonnes);Location;Company;Status;Number
0;M1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;1
0;A1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;1
0;5TPH1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;1
0;N1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;1
0;3TPH1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;1
0;CR1;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;1
0;1MML1;Loader;200835004;Wulf Renoster ;Front End Loader;0;15;3 Ton ;Chanton ;Magaya Mining;;1
0;M2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;2
0;5TPH2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;2
0;3TPH2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;2
0;N2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;2
0;CR2;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;2
AHF4219;1MML2;Loader;211058011;Wulf Renoster ;Front End Loader;0;15;3 Ton ;Walden;Magaya Mining;;2
AHH7451;N3;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;3
AGL7329;M3;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;3
AGJ0312;3TPH3;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;3
AGZ8676;5TPH3;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;3
AGL8435;CR3;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;3
AGZ5340;1MML3;Loader;211058011;Wulf Oliphant ;Front End Loader;0;20;5 Ton ;Walden ;Magaya Mining;;3
AGL6353;M4;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;4
AGZ5592;N4;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;4
AHE0277;1MML4;Loader;XUG0050GPNCB08684;XCGM;Front End Loader;0;20;5 Ton ;Walden;Magaya Mining;;4
AHA2233;1MML5;Loader;221235175;Wulf Renoster ;Front End Loader;0;15;3 Ton ;Walden;Magaya Mining;;5
AGZ8677;M5;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;5
AGZ8678;N5;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;;5
