"_source_table","_role","_duplicate_id","_keeper_id","id","description","type","fleetId","make","model","year","registrationNumber","vinSerialId","companyId","status","createdAt","updatedAt","siteId","engineCapacity","loadingCarryingCapacityTonnes","fuelConsumptionUnit","fuelConsumption","locationOtherText","location","millingSiteId","lastAssessedAt","crushingSiteId"
Equipment,keeper (target of reassignment),cmmxotwj408cmk42abpcugcic,cmmw6cq810hy6lr2axty8k5z5,cmmw6cq810hy6lr2axty8k5z5,,TIPPER,"2HGT791",,,,AGZ6652,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2026-03-18 15:06:50.689,2026-06-15 07:29:36.738,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
Equipment,duplicate (will be deleted later),cmmxotwj408cmk42abpcugcic,cmmw6cq810hy6lr2axty8k5z5,cmmxotwj408cmk42abpcugcic,,TIPPER,"2HGT835",,,2026,AGZ6652,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2026-03-19 16:31:51.280,2026-03-19 16:31:51.280,,,,,,,,,,
Equipment,keeper (target of reassignment),cmmyw76wi0scvk42a09x26n7k,"319cfc83-aba9-4fbb-bea8-eecb91a922b7","319cfc83-aba9-4fbb-bea8-eecb91a922b7",,,"2HGT789",,,,,,,AVAILABLE,2026-03-18 09:38:21.890,2026-03-18 09:38:21.890,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
Equipment,duplicate (will be deleted later),cmmyw76wi0scvk42a09x26n7k,"319cfc83-aba9-4fbb-bea8-eecb91a922b7",cmmyw76wi0scvk42a09x26n7k,,TIPPER,"2HGT789",,,,,,,AVAILABLE,2026-03-20 12:45:54.738,2026-03-20 12:45:54.738,,,,,,,,,,
Equipment,keeper (target of reassignment),cmn1uoyn61z83k42aobnjhuo9,cmn1ukn7w1yolk42agd5e99u3,cmn1ukn7w1yolk42agd5e99u3,,TIPPER,"2HGT855",,,,AGZ8681,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2026-03-22 14:23:41.708,2026-06-15 07:29:36.738,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
Equipment,duplicate (will be deleted later),cmn1uoyn61z83k42aobnjhuo9,cmn1ukn7w1yolk42agd5e99u3,cmn1uoyn61z83k42aobnjhuo9,,TIPPER,"2HGT755",,,,AGZ8681,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2026-03-22 14:27:03.138,2026-03-22 14:27:03.138,,,,,,,,,,
Equipment,keeper (target of reassignment),cmn34nkzu2yw1k42almvf1d8v,dec7e31f-a179-4975-adad-3f62b6962e73,dec7e31f-a179-4975-adad-3f62b6962e73,,,"2WTP793",,,,,,,AVAILABLE,2026-03-18 09:38:21.890,2026-03-18 09:38:21.890,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
Equipment,duplicate (will be deleted later),cmn34nkzu2yw1k42almvf1d8v,dec7e31f-a179-4975-adad-3f62b6962e73,cmn34nkzu2yw1k42almvf1d8v,,POOL,"2WTP793",DAF,,,AHF4219,XLRAE65GC0E964382,cmj9vreu40000l702qz7al4up,AVAILABLE,2026-03-23 11:53:41.131,2026-03-23 11:53:41.131,,,10.0,LITRES_PER_KM,5.5,,WALDEN,,,
Equipment,keeper (target of reassignment),cmn38agrw383fk42adib9hs80,d81bc26a-fa3d-4c48-8a99-20cf326b760a,d81bc26a-fa3d-4c48-8a99-20cf326b760a,,,"2WTP770",,,,,,,AVAILABLE,2026-03-18 09:38:21.890,2026-03-18 09:38:21.890,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
Equipment,duplicate (will be deleted later),cmn38agrw383fk42adib9hs80,d81bc26a-fa3d-4c48-8a99-20cf326b760a,cmn38agrw383fk42adib9hs80,,POOL,"2WTP770",UD40,,,AAH7451,,cmj9vreu40000l702qz7al4up,AVAILABLE,2026-03-23 13:35:27.596,2026-03-23 13:35:27.596,,,4.0,LITRES_PER_KM,5.0,,WALDEN,,,
