"_source_table","_change_type","_old_equipment_id","_new_equipment_id","id","createdAt","updatedAt","planId","equipmentId","siteId"
PlanAssignment,UPDATE equipmentId,cmmxotwj408cmk42abpcugcic,cmmw6cq810hy6lr2axty8k5z5,cmmyw6v870sclk42aeqvin0a5,2026-03-20 12:45:39.592,2026-03-20 12:45:39.592,cmmyw6v820scdk42a8d9rorj7,cmmxotwj408cmk42abpcugcic,"18e3e5db-cf20-4eba-a198-98109170c02b"
PlanAssignment,UPDATE equipmentId,cmmxotwj408cmk42abpcugcic,cmmw6cq810hy6lr2axty8k5z5,cmn2v436b29dek42afcboo9ye,2026-03-23 07:26:35.011,2026-03-23 07:26:35.011,cmn2un94027t5k42awasmaytx,cmmxotwj408cmk42abpcugcic,"18e3e5db-cf20-4eba-a198-98109170c02b"
PlanAssignment,UPDATE equipmentId,cmmyw76wi0scvk42a09x26n7k,"319cfc83-aba9-4fbb-bea8-eecb91a922b7",cmn2x96x92iadk42aeaiv4kj9,2026-03-23 08:26:32.362,2026-03-23 08:26:32.362,cmn2un94027t5k42awasmaytx,cmmyw76wi0scvk42a09x26n7k,"18e3e5db-cf20-4eba-a198-98109170c02b"
PlanAssignment,UPDATE equipmentId,cmmyw76wi0scvk42a09x26n7k,"319cfc83-aba9-4fbb-bea8-eecb91a922b7",cmo1jih26hiv1pb2auzjtozr0,2026-04-16 13:53:46.960,2026-04-16 13:53:46.960,cmo1hengfhe95pb2aafyuxrrf,cmmyw76wi0scvk42a09x26n7k,"18e3e5db-cf20-4eba-a198-98109170c02b"
PlanAssignment,UPDATE equipmentId,cmp45evop1tc3p8casmsnqmhv,cmobdpy4t1hkznzbg9g9k44uu,cmpcb6wm1dlg8pabftzw0ya6g,2026-05-19 07:26:00.586,2026-05-19 07:26:00.586,cmpcb6wlzdlg4pabfbi9fy2fp,cmp45evop1tc3p8casmsnqmhv,
PlanAssignment,UPDATE equipmentId,cmp45evop1tc3p8casmsnqmhv,cmobdpy4t1hkznzbg9g9k44uu,cmpe5wu9gi77spabf2hns4onw,2026-05-20 14:33:45.253,2026-05-20 14:33:45.253,cmpe5wu9bi77dpabflfmlcbtn,cmp45evop1tc3p8casmsnqmhv,
PlanAssignment,UPDATE equipmentId,cmn1uoyn61z83k42aobnjhuo9,cmn1ukn7w1yolk42agd5e99u3,cmpe5wu9hi77ypabfkoz4au0d,2026-05-20 14:33:45.253,2026-05-20 14:33:45.253,cmpe5wu9bi77dpabflfmlcbtn,cmn1uoyn61z83k42aobnjhuo9,
PlanAssignment,UPDATE equipmentId,cmmyw76wi0scvk42a09x26n7k,"319cfc83-aba9-4fbb-bea8-eecb91a922b7",cmpe5wu9hi780pabfoqdngjh6,2026-05-20 14:33:45.253,2026-05-20 14:33:45.253,cmpe5wu9bi77dpabflfmlcbtn,cmmyw76wi0scvk42a09x26n7k,
PlanAssignment,UPDATE equipmentId,cmp45evop1tc3p8casmsnqmhv,cmobdpy4t1hkznzbg9g9k44uu,cmpfb0nolizllpabfxb8yykfo,2026-05-21 09:44:27.604,2026-05-21 09:44:27.604,cmpfb0noiizlepabfrx9idqs3,cmp45evop1tc3p8casmsnqmhv,
PlanAssignment,UPDATE equipmentId,cmmxotwj408cmk42abpcugcic,cmmw6cq810hy6lr2axty8k5z5,cmpfb0nopizm1pabfp4slxaw9,2026-05-21 09:44:27.604,2026-05-21 09:44:27.604,cmpfb0noiizlepabfrx9idqs3,cmmxotwj408cmk42abpcugcic,
PlanAssignment,UPDATE equipmentId,cmp45evop1tc3p8casmsnqmhv,cmobdpy4t1hkznzbg9g9k44uu,cmpgki0c8kd2ipabfnuygbjz3,2026-05-22 06:57:39.878,2026-05-22 06:57:39.878,cmpgki0c1kd1tpabfkgiqta1j,cmp45evop1tc3p8casmsnqmhv,
PlanAssignment,UPDATE equipmentId,cmp45evop1tc3p8casmsnqmhv,cmobdpy4t1hkznzbg9g9k44uu,cmpmq06bdc1pgpabftiyj34rp,2026-05-26 14:18:22.574,2026-05-26 14:18:22.574,cmpmgi1jwbc3rpabf082v19pw,cmp45evop1tc3p8casmsnqmhv,"18e3e5db-cf20-4eba-a198-98109170c02b"
