"table_schema","table_name","column_name","row_count","non_null_count","all_null"
public,Allocation,note,38,0,true
public,Batch,shift,14227,0,true
public,CrushingLoad,crusherId,60,0,true
public,CrushingLoad,crusherSettings,60,0,true
public,CrushingLoad,dischargeSize,60,0,true
public,CrushingLoad,downTime,60,0,true
public,CrushingLoad,finishedCrushingAt,60,0,true
public,CrushingLoad,firstWeighedAt,60,0,true
public,CrushingLoad,issuesDescription,60,0,true
public,CrushingLoad,operatorName,60,0,true
public,CrushingLoad,startedCrushingAt,60,0,true
public,Equipment,crushingSiteId,893,0,true
public,Equipment,engineCapacity,893,0,true
public,Equipment,locationOtherText,893,0,true
public,EquipmentCompany,yearEstablished,10,0,true
public,Job,requesterId,298,0,true
public,MillingLoad,accessSlip,2045,0,true
public,MillingLoad,assessmentNotes,2045,0,true
public,MillingLoad,crusherSettings,2045,0,true
public,MillingLoad,dischargeSize,2045,0,true
public,MillingLoad,downtime,2045,0,true
public,MillingLoad,feedRate,2045,0,true
public,MillingLoad,issuesDescription,2045,0,true
public,MillingLoad,millDowntime,2045,0,true
public,MillingLoad,millIssuesDescription,2045,0,true
public,MillingLoad,panningNames,2045,0,true
public,MillingLoad,recoveryFirstWeigh,2045,0,true
public,MillingLoad,recoverySecondWeigh,2045,0,true
public,MillingLoad,rejectedAt,2045,0,true
public,MillingLoad,rejectionNotes,2045,0,true
public,MillingLoad,rejectionReason,2045,0,true
public,MillingLoad,slurryDensity,2045,0,true
public,MillingLoad,tonnageMilledBeforeRejection,2045,0,true
public,OnTheGround,grindTest,9174,0,true
public,PaymentReport,loanPercentage,1497,0,true
public,PaymentReport,transportCostPercentage,1497,0,true
public,RiskAssessment,controlMeasuresApplied,193,0,true
public,RiskAssessment,hazardsIdentified,193,0,true
public,RiskAssessment,ppeUsed,193,0,true
public,Sample,agentId,30444,0,true
public,Sample,shaft,30444,0,true
public,SiteSyncState,syncFromCloudRunId,1,0,true
public,SiteSyncState,syncFromCloudStartedAt,1,0,true
public,SiteSyncState,syncToCloudRunId,1,0,true
public,SiteSyncState,syncToCloudStartedAt,1,0,true
public,Stockpile,allocatedAt,1,0,true
public,Stockpile,allocatedById,1,0,true
public,Stockpile,allocationId,1,0,true
public,Stockpile,wasEvaluatedAmount,1,0,true
public,Stockpile,wasLoadCount,1,0,true
public,Stockpile,wasTotalTonnage,1,0,true
public,Stockpile,wasWeightedGrade,1,0,true
public,StockValue,stockEndDate,3468,0,true
public,SubSample,filtrationRackPosition,88706,0,true
public,SyncRun,trigger,19,0,true
public,Telematics,currentLocation,66,0,true
public,Telematics,fuelLevel,66,0,true
public,Telematics,tonsRelocated,66,0,true
public,User,authCode,124,0,true
public,User,authCodeExpires,124,0,true
public,Weighbridge,agentId,12750,0,true
public,Weighbridge,fleetId,12750,0,true
public,Weighbridge,loadbayId,12750,0,true
public,Weighbridge,toastValue,12750,0,true
