"id","description","type","fleetId","make","model","year","registrationNumber","vinSerialId","companyId","status","createdAt","updatedAt","siteId","engineCapacity","loadingCarryingCapacityTonnes","fuelConsumptionUnit","fuelConsumption","locationOtherText","location","millingSiteId","lastAssessedAt","crushingSiteId"
cmi8fy8v900j7skghbrtcb4ry,,TIPPER,"2HGT671",HOWO,Sino Truck,,,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2025-11-21 05:50:13.572,2025-12-24 13:58:00.778,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,OTHER,,,
cmi8fy8wo00jjskgh6fuo90tx,,TIPPER,"2HGT713",Howo,Howo,,AGL7329,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2025-11-21 05:50:13.657,2025-12-17 10:49:11.036,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,AMATOLA,,,
cmi8fy8wo00jkskgho66m4l62,,COMPACTOR,"2ESC716",,CAT - 533E,,,CATCS533CTJL07060,cmid6yjrc000jjv0288g2ibzo,AVAILABLE,2025-11-21 05:50:13.657,2025-12-17 10:46:58.463,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,AMATOLA,,,
cmi8fy8wo00jnskghljxoi490,,TIPPER,"2HGT715",Howo,Howo,,AGL6352,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2025-11-21 05:50:13.657,2025-12-17 08:22:56.091,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,AMATOLA,,,
cmi8fy8wo00jmskghcojp9tkw,,TIPPER,"2HGT717",Howo,,,AGZ6672,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2025-11-21 05:50:13.657,2025-12-17 08:19:51.953,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,AMATOLA,,,
cmi8fy8wo00jlskghhsyupuom,,TIPPER,"2HGT714",HOWO,Sino Truck,,AGL7330 ,,cmid6zfak0002lb02iytpltpq,AVAILABLE,2025-11-21 05:50:13.657,2025-11-24 13:44:21.611,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,OTHER,,,
cmi8fy8wo00jhskghu05eefk4,,,"2RAT711",,,,,,,AVAILABLE,2025-11-21 05:50:13.656,2025-11-21 05:50:13.656,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
cmi8fy8v700ixskghy33wtn3r,,,"2HGT700",,,,,,,AVAILABLE,2025-11-21 05:50:13.572,2025-11-21 05:50:13.572,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
cmi8fy8sv00hpskghmqq9vnoy,,,"2TLF657",,,,,,,AVAILABLE,2025-11-21 05:50:13.489,2025-11-21 05:50:13.489,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
cmi8fy8s000gxskghx876sd02,,,"2PAT632",,,,,,,AVAILABLE,2025-11-21 05:50:13.488,2025-11-21 05:50:13.488,"18e3e5db-cf20-4eba-a198-98109170c02b",,,,,,,,,
